,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,career,pitcher,start_ratio,games,contracts
0,0,Francisco Lindor\lindofr01,27,7,Traded,5.113,David Meter Spor...,1 yr/$22.3M (21)10 yrs/$341M (22-31),$22.3M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,$34.1M,"[4.0, 5.1, 5.7, 7.2, 4.8, 1.2, 1.3]",False,,"[99.0, 158.0, 159.0, 158.0, 143.0, 60.0, 50.0]","[{'type': 'salary', 'value': 17500000.0}, {'type': 'salary', 'value': 22300000.0}, {'type': 'salary', 'value': 34100000.0}, {'type': 'salary', 'value': 34100000.0}, {'type': 'salary', 'value': 34100000.0}, {'type': 'salary', 'value': 34100000.0}, {'type': 'salary', 'value': 34100000.0}, {'type': 'salary', 'value': 34100000.0}, {'type': 'salary', 'value': 34100000.0}, {'type': 'salary', 'value': 34100000.0}, {'type': 'salary', 'value': 34100000.0}, {'type': 'salary', 'value': 34100000.0}]"
1,1,Robinson Cano\canoro01,38,16,Traded,15.076,Roc Nation Sports,10 yrs/$204.26M (14-23),0,$24M,$24M,FA,,,,,,,,"[0.8, 3.2, 6.7, 0.2, 4.5, 8.1, 5.8, 8.4, 6.6, 6.3, 3.5, 7.3, 2.9, 3.4, 0.5, 1.1]",False,,"[132.0, 122.0, 160.0, 159.0, 161.0, 160.0, 159.0, 161.0, 160.0, 157.0, 156.0, 161.0, 150.0, 80.0, 107.0, 49.0]","[{'type': 'salary', 'value': 24000000.0}, {'type': 'salary', 'value': ''}, {'type': 'salary', 'value': 24000000.0}, {'type': 'salary', 'value': 24000000.0}]"
2,2,Jacob deGrom\degroja01,33,8,Amateur Draft,6.1389999999999985,CAA Sports,5 yrs/$137.5M (19-23) & 24 team option,$35.5M,$35.5M,$32.5M,$0 [FA-*],FA,,,,,,,"[3.5, 5.4, 3.5, 4.6000000000000005, 10.4, 8.6, 2.7, 3.2]",True,1.0,"[22.0, 30.0, 24.0, 31.0, 32.0, 32.0, 12.0, 9.0]","[{'type': 'salary', 'value': 25000000.0}, {'type': 'salary', 'value': 35500000.0}, {'type': 'salary', 'value': 35500000.0}, {'type': 'salary', 'value': 32500000.0}, {'type': 'team option', 'value': 32500000.0}]"
3,3,Carlos Carrasco\carraca01,34,11,,9.147,ACES (Sam & Seth ...,4 yrs/$47M (19-22) & 23 team option,$12M,$12M,$3M [FA-*],FA,,,,,,,,"[-0.7, 0.7, 0.6, -0.9, 4.1, 4.2, 3.0, 5.2, 3.7, 0.1, 1.6]",True,0.8057851239669421,"[5.0, 7.0, 21.0, 15.0, 40.0, 30.0, 25.0, 32.0, 32.0, 23.0, 12.0]","[{'type': 'salary', 'value': 10250000.0}, {'type': 'salary', 'value': 12000000.0}, {'type': 'salary', 'value': 12000000.0}, {'type': 'team option', 'value': 14000000.0}]"
4,4,James McCann\mccanja02,31,8,Free Agency,6.028,Ballengee Group,4 yrs/$40.6M (21-24),$8.15M,$8.15M,$12.15M,$12.15M,FA,,,,,,,"[-0.1, 0.7, 0.9, 1.4, -0.7, 3.6, 1.3, 0.3]",False,,"[9.0, 114.0, 105.0, 106.0, 118.0, 118.0, 31.0, 43.0]","[{'type': 'salary', 'value': 5400000.0}, {'type': 'salary', 'value': 8150000.0}, {'type': 'salary', 'value': 8150000.0}, {'type': 'salary', 'value': 12150000.0}, {'type': 'salary', 'value': 12150000.0}]"
5,5,Jeurys Familia\familje01,31,10,Free Agency,8.023,ACES (Sam & Seth ...,3 yrs/$30M (19-21),$11.67M,FA,,,,,,,,,,"[-0.1, 0.0, 1.1, 2.9, 1.8, 0.0, 1.5, -0.2, 0.6, 0.3]",True,0.0,"[8.0, 9.0, 76.0, 76.0, 78.0, 26.0, 70.0, 66.0, 25.0, 20.0]","[{'type': 'salary', 'value': 11666667.0}, {'type': 'salary', 'value': 11666667.0}]"
6,6,Taijuan Walker\walketa01,28,9,Free Agency,6.142,Excel Sports Mana...,2 yrs/$20M (21-22) & 23 player option,$10M,$7M,$3M [FA-*],FA,,,,,,,,"[0.1, 0.9, 1.2, 0.3, 3.0, 0.1, 0.1, 1.3, 1.0]",True,1.0,"[3.0, 8.0, 29.0, 25.0, 28.0, 3.0, 1.0, 11.0, 10.0]","[{'type': 'salary', 'value': 2000000.0}, {'type': 'salary', 'value': 10000000.0}, {'type': 'salary', 'value': 7000000.0}, {'type': 'player option', 'value': 6000000.0}]"
7,7,Marcus Stroman\stromma01,30,7,Free Agency,6.026,The Legacy Agency,1 yr/$18.9M (21),$18.9M,FA,,,,,,,,,,"[1.8, 1.3, 1.5, 5.4, 0.3, 4.5, 0.7000000000000001]",True,1.0,"[26.0, 4.0, 32.0, 33.0, 19.0, 32.0, 11.0]","[{'type': 'salary', 'value': 12000000.0}, {'type': 'salary', 'value': 18900000.0}]"
8,8,Trevor May\maytr01,31,7,Free Agency,6.0120000000000005,VC Sports Group,2 yrs/$15.5M (21-22),$7.75M,$7.75M,FA,,,,,,,,,"[-1.1, 1.5, -0.1, 0.5, 1.2, 0.0, -0.2]",True,0.0,"[10.0, 48.0, 44.0, 24.0, 65.0, 24.0, 22.0]","[{'type': 'salary', 'value': 2205000.0}, {'type': 'salary', 'value': 7750000.0}, {'type': 'salary', 'value': 7750000.0}]"
9,9,Dellin Betances\betande01,33,10,Free Agency,7.0779999999999985,Excel Sports Mana...,2 yrs/$14M (20-21) & 22 player option,$6M,$500k [FA-*],FA,,,,,,,,,"[0.0, -0.2, 3.7, 3.9, 1.2, 1.5, 1.5, 0.0, -0.2, 0.0]",True,0.0,"[2.0, 6.0, 70.0, 74.0, 73.0, 66.0, 66.0, 1.0, 15.0, 1.0]","[{'type': 'salary', 'value': 7500000.0}, {'type': 'salary', 'value': 6000000.0}, {'type': 'player option', 'value': 1000000.0}]"
10,10,Michael Conforto\confomi01,28,7,Amateur Draft,5.043,Scott Boras,1 yr/$12.25M (21),$12.25M,FA,,,,,,,,,,"[2.1, 0.6, 3.7, 2.7, 3.5, 2.1, 0.2]",False,,"[56.0, 109.0, 109.0, 153.0, 151.0, 54.0, 33.0]","[{'type': 'salary', 'value': 8000000.0}, {'type': 'salary', 'value': 12250000.0}]"
11,11,Noah Syndergaard\syndeno01,28,5,Traded,5.149,CAA Sports,1 yr/$9.7M (21),$9.7M,FA,,,,,,,,,,"[2.6999999999999997, 5.7, 0.7, 4.1, 2.8]",True,0.9915966386554622,"[24.0, 31.0, 7.0, 25.0, 32.0]","[{'type': 'salary', 'value': 9700000.0}, {'type': 'salary', 'value': 9700000.0}]"
12,12,Edwin Diaz\diazed04,27,6,Traded,4.121,Wasserman,1 yr/$7M (21),$7M,Arb,FA,,,,,,,,,"[1.4, 0.9, 3.3, -0.4, 1.4, 0.3]",True,0.0,"[49.0, 66.0, 73.0, 66.0, 26.0, 23.0]","[{'type': 'salary', 'value': 5100000.0}, {'type': 'salary', 'value': 7000000.0}]"
13,13,Kevin Pillar\pillake01,32,9,Free Agency,6.113,All Bases Covered,1 yr/$5M (21) & 22 team option,$3.6M,$1.4M [FA-*],FA,,,,,,,,,"[0.1, 0.6, 5.2, 3.6, 3.0, 2.3, 0.4, 1.0, 0.0]",False,,"[36.0, 53.0, 159.0, 146.0, 154.0, 142.0, 161.0, 54.0, 34.0]","[{'type': 'salary', 'value': 4250000.0}, {'type': 'salary', 'value': 3600000.0}, {'type': 'team option', 'value': 6400000.0}]"
14,14,Brandon Nimmo\nimmobr01,28,6,Amateur Draft,4.042,CAA Sports,1 yr/$4.7M (21),$4.7M,Arb,FA,,,,,,,,,"[0.2, 1.0, 4.6, 0.9, 1.7, 0.9]",False,,"[32.0, 69.0, 140.0, 69.0, 55.0, 21.0]","[{'type': 'salary', 'value': 2175000.0}, {'type': 'salary', 'value': 4700000.0}]"
15,15,Jonathan Villar\villajo01,30,9,Free Agency,6.113,MDR Sports Manage...,1 yr/$3.55M (21),$3.55M,FA,,,,,,,,,,"[-0.3, 0.9, 0.7, 3.2, 0.2, 2.9000000000000004, 4.5, -0.1, 0.7]",False,,"[58.0, 87.0, 53.0, 156.0, 122.0, 141.0, 162.0, 52.0, 47.0]","[{'type': 'salary', 'value': 8200000.0}, {'type': 'salary', 'value': 3550000.0}]"
