,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,pitcher,start_ratio,games,contracts
0,0,Starling Marte\martest01,32,10,Traded,7.162000000000001,Rep 1 Baseball,8 yrs/$53M (14-21),$12.5M,FA,,"[1.0, 5.1, 4.5, 5.0, 4.8, 1.2, 4.0, 2.8, 1.6, 1.0]",False,,"[47.0, 135.0, 135.0, 153.0, 129.0, 77.0, 145.0, 132.0, 61.0, 22.0]","[{'type': 'salary', 'value': 11500000.0}, {'type': 'salary', 'value': 12500000.0}]"
1,1,Corey Dickerson\dickeco01,32,9,Free Agency,7.101,Excel Sports Mana...,2 yrs/$17.5M (20-21),$8.75M,FA,,"[0.8, 3.1, 0.5, 1.6, 2.7, 3.6, 0.8, 0.2, 0.7]",False,,"[69.0, 131.0, 65.0, 148.0, 150.0, 135.0, 78.0, 52.0, 54.0]","[{'type': 'salary', 'value': 8750000.0}, {'type': 'salary', 'value': 8750000.0}]"
2,2,Miguel Rojas\rojasmi02,32,8,Traded,6.042999999999998,Beverly Hills Spo...,2 yrs/$10.25M (20-21) & 22 team option,$5M,$500k [FA-*],FA,"[0.9, 1.3, -0.2, 2.3, 1.1, 1.0, 1.5, 1.7]",False,,"[85.0, 60.0, 123.0, 90.0, 153.0, 132.0, 40.0, 47.0]","[{'type': 'salary', 'value': 4750000.0}, {'type': 'salary', 'value': 5000000.0}, {'type': 'team option', 'value': 5500000.0}]"
3,3,Anthony Bass\bassan01,33,10,Free Agency,6.01,Beverly Hills Spo...,2 yrs/$5M (21-22) & 23 team option,$1M,$3M,$1M [FA-*],"[1.4, -0.7000000000000001, -0.4, -0.9, 0.3, -0.3, 0.2, 1.0, 0.6, -0.2]",True,0.0,"[27.0, 24.0, 24.0, 21.0, 33.0, 2.0, 16.0, 44.0, 26.0, 25.0]","[{'type': 'salary', 'value': 1500000.0}, {'type': 'salary', 'value': 1000000.0}, {'type': 'salary', 'value': 3000000.0}, {'type': 'team option', 'value': 3000000.0}]"
4,4,Adam Duvall\duvalad01,32,8,Free Agency,4.151,CAA Sports,1 yr/$5M (21) & 22 mutual option,$2M,$3M [Arb-*],FA,"[-0.4, 0.1, 3.3, 2.0, 0.8, 0.7, 0.8, 0.8]",False,,"[28.0, 27.0, 150.0, 157.0, 138.0, 41.0, 57.0, 50.0]","[{'type': 'salary', 'value': 3250000.0}, {'type': 'arb', 'value': None}]"
5,5,Jesus Aguilar\aguilje01,31,8,Waivers,4.082,MVP Sports Group,1 yr/$4.3M (21),$4.3M,Arb,FA,"[-0.5, -0.2, -0.2, 0.9, 3.4, -0.3, 0.6, 0.8]",False,,"[19.0, 7.0, 9.0, 133.0, 149.0, 131.0, 51.0, 55.0]","[{'type': 'salary', 'value': 2575000.0}, {'type': 'salary', 'value': 4300000.0}]"
6,6,Brian Anderson\anderbr06,28,5,Amateur Draft,3.031,CAA Sports,1 yr/$3.8M (21),$3.8M,Arb,Arb,"[-0.3, 3.0, 3.3, 1.8, 0.6]",False,,"[25.0, 156.0, 126.0, 59.0, 35.0]","[{'type': 'salary', 'value': 3800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
7,7,Jorge Alfaro\alfarjo01,28,6,Traded,3.083,ISE Baseball,1 yr/$2.05M (21),$2.05M,Arb,Arb,"[-0.4, 0.7, 1.6, 1.1, -0.4, 0.1]",False,,"[6.0, 29.0, 108.0, 130.0, 31.0, 20.0]","[{'type': 'salary', 'value': 2050000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
8,8,Yimi Garcia\garciyi01,30,7,Free Agency,5.149,Jackson Managemen...,1 yr/$1.9M (21),$1.9M,FA,,"[0.2, 0.4, 0.1, -0.6, 0.1, 0.9, 0.8]",True,0.0,"[8.0, 59.0, 9.0, 25.0, 64.0, 14.0, 24.0]","[{'type': 'salary', 'value': 1900000.0}]"
9,9,Garrett Cooper\coopega03,30,5,Traded,3.053,,1 yr/$1.8M (21),$1.8M,Arb,Arb,"[0.1, 0.2, 1.5, 0.5, 0.0]",False,,"[13.0, 14.0, 107.0, 34.0, 51.0]","[{'type': 'salary', 'value': 1800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
