,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,career,games,contracts,years,pitcher,start_ratio
0,Kyle Seager\seageky01,33,11,Amateur Draft,9.085,Jet Sports Manage...,7 yrs/$100M (15-21) & 22 team option,$18.5M,$0 [FA-*],FA,,,,,,"[0.9, 2.8, 3.9, 6.3, 5.4, 6.7, 3.6, 1.1, 3.2, 1.1, 0.8]","[53.0, 155.0, 160.0, 159.0, 161.0, 158.0, 154.0, 155.0, 106.0, 60.0, 66.0]","[{'type': 'salary', 'value': 18500000.0}, {'type': 'team option', 'value': 15000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
1,Yusei Kikuchi\kikucyu01,30,3,Free Agency,2.0,,3 yrs/$43M (19-21) & 22-25 team option,$17M,$0 [Arb-*],$0 [Arb-*],$0 [Arb-*],$0 [FA-*],FA,,,"[0.7, 0.1, 1.2]","[32.0, 9.0, 12.0]","[{'type': 'salary', 'value': 17000000.0}, {'type': 'team option', 'value': 16500000.0}, {'type': 'team option', 'value': 16500000.0}, {'type': 'team option', 'value': 16500000.0}, {'type': 'team option', 'value': 16500000.0}]","[2019, 2020, 2021]",True,1.0
2,Marco Gonzales\gonzama02,29,7,Traded,3.102,CAA Sports,4 yrs/$30M (21-24) & 25 team option,$5.25M,$5.75M,$6.75M,$12.25M,$0 [FA-*],FA,,,"[0.4, -0.2, -0.1, 2.6, 3.6, 1.4, 0.1]","[10.0, 1.0, 11.0, 29.0, 34.0, 11.0, 7.0]","[{'type': 'salary', 'value': 5250000.0}, {'type': 'salary', 'value': 5750000.0}, {'type': 'salary', 'value': 6750000.0}, {'type': 'salary', 'value': 12250000.0}, {'type': 'team option', 'value': 15000000.0}]","[2014, 2015, 2017, 2018, 2019, 2020, 2021]",True,1.0
3,Evan White\whiteev01,25,2,Amateur Draft,1.0,,6 yrs/$24M (20-25) & 26-28 team option,$1.3M,$1.4M,$3M,$7M,$8M,$2M [FA-*],$0 [FA-*],$0 [FA-*],"[0.1, -0.6]","[54.0, 30.0]","[{'type': 'salary', 'value': 1300000.0}, {'type': 'salary', 'value': 1400000.0}, {'type': 'salary', 'value': 3000000.0}, {'type': 'salary', 'value': 7000000.0}, {'type': 'salary', 'value': 8000000.0}, {'type': 'team option', 'value': 10000000.0}, {'type': 'team option', 'value': 11000000.0}, {'type': 'team option', 'value': 12500000.0}]","[2020, 2021]",False,
4,James Paxton\paxtoja01,32,9,Free Agency,6.151,Scott Boras,1 yr/$8.5M (21),$8.5M,FA,,,,,,,"[1.1, 1.3, 0.7, 1.0, 3.7, 3.2, 2.5, -0.4, 0.0]","[4.0, 13.0, 13.0, 20.0, 24.0, 28.0, 29.0, 5.0, 1.0]","[{'type': 'salary', 'value': 8500000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
5,Ken Giles\gileske01,30,7,,6.113,Rowley Sports Man...,2 yrs/$7M (21-22) & 23 team option,$1.25M,$5.25M,$500k [FA-*],FA,,,,,"[2.0, 1.7, -0.3, 2.0, -0.1, 2.5, -0.2]","[44.0, 69.0, 69.0, 63.0, 55.0, 53.0, 4.0]","[{'type': 'salary', 'value': 1250000.0}, {'type': 'salary', 'value': 5250000.0}, {'type': 'team option', 'value': 9500000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020]",True,0.0
6,Chris Flexen\flexech01,26,4,Free Agency,0.107,,2 yrs/$4.75M (21-22) & 23 team option,$1.7M,$3.05M,$0 [*],Arb,Arb,Arb,FA,,"[-1.1, -0.8, -0.19999999999999998, 0.1]","[14.0, 4.0, 9.0, 11.0]","[{'type': 'salary', 'value': 1700000.0}, {'type': 'salary', 'value': 3050000.0}, {'type': 'team option', 'value': 4000000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2021]",True,1.0
7,Mitch Haniger\hanigmi01,30,5,Traded,4.048,Sosnick Cobbe & K...,1 yr/$3.01M (21),$3.01M,Arb,FA,,,,,,"[-0.1, 3.1, 6.5, 1.5, 1.4]","[34.0, 96.0, 157.0, 63.0, 63.0]","[{'type': 'salary', 'value': 3010000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2021]",False,
8,Rafael Montero\montera01,30,7,Traded,4.138,The Legacy Agency,1 yr/$2.25M (21),$2.25M,Arb,FA,,,,,,"[0.0, -0.1, -0.6, -0.2, 1.2, 0.1, -0.8]","[10.0, 5.0, 9.0, 34.0, 22.0, 17.0, 28.0]","[{'type': 'salary', 'value': 2250000.0}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2017, 2019, 2020, 2021]",True,0.0
9,J.P. Crawford\crawfjp01,26,5,Traded,2.163,Wasserman,1 yr/$2.05M (21),$2.05M,Arb,Arb,Arb,FA,,,,"[0.8, 0.2, 1.6, 1.6, 2.0]","[23.0, 49.0, 93.0, 53.0, 65.0]","[{'type': 'salary', 'value': 2050000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
10,Kendall Graveman\graveke01,30,7,Free Agency,5.078,Sports One Athlet...,1 yr/$1.25M (21),$1.25M,FA,,,,,,,"[0.1, 1.1, 3.4, 1.9, -1.0, -0.3, 1.4]","[5.0, 21.0, 31.0, 19.0, 7.0, 11.0, 15.0]","[{'type': 'salary', 'value': 1250000.0}]","[2014, 2015, 2016, 2017, 2018, 2020, 2021]",True,0.0
11,Tom Murphy\murphto04,30,6,Traded,3.092,Ballengee Group,1 yr/$875k (21),$875k,Arb,Arb,FA,,,,,"[0.1, 0.6, -0.5, -0.3, 2.6, 0.0]","[11.0, 21.0, 12.0, 37.0, 75.0, 41.0]","[{'type': 'salary', 'value': 875000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2021]",False,
12,Keynan Middleton\middlke01,27,5,Free Agency,3.089,,1 yr/$800k (21),$800k,Arb,Arb,FA,,,,,"[0.7, 0.8, 0.4, 0.1, 0.1]","[64.0, 16.0, 11.0, 13.0, 19.0]","[{'type': 'salary', 'value': 800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
13,Matt Magill\magilma01,31,5,Free Agency,3.031,,1 yr/$100k (21),$100k,Arb,Arb,FA,,,,,"[-1.1, 0.0, 0.6, 0.0, -0.2]","[6.0, 5.0, 40.0, 50.0, 11.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2016, 2018, 2019, 2020]",True,0.05357142857142857
