,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,pitcher,start_ratio,games,contracts
0,0,Chris Davis\davisch02,35,13,Free Agency,11.061,Boras Corporation,7 yrs/$161M (16-22),$23M,$23M,FA,"[1.1, -0.9, -0.5, -0.1, 1.7, 7.1, 1.1, 4.9, 3.1, -0.6, -3.3, -0.9, -0.9]",False,,"[80.0, 113.0, 45.0, 59.0, 139.0, 160.0, 127.0, 160.0, 157.0, 128.0, 128.0, 105.0, 16.0]","[{'type': 'salary', 'value': 23000000.0}, {'type': 'salary', 'value': 23000000.0}, {'type': 'salary', 'value': 23000000.0}]"
1,1,Trey Mancini\mancitr01,29,5,Amateur Draft,4.015,,1 yr/$4.75M (21),$4.75M,Arb,FA,"[0.3, 2.4, 0.8, 3.9, 1.4]",False,,"[5.0, 147.0, 156.0, 154.0, 56.0]","[{'type': 'salary', 'value': 4750000.0}, {'type': 'salary', 'value': 4750000.0}]"
2,2,Anthony Santander\santaan02,26,5,Rule 5 Draft,2.162,,1 yr/$2.1M (21),$2.1M,Arb,Arb,"[0.0, -0.5, 1.6, 1.7, 0.2]",False,,"[13.0, 33.0, 93.0, 37.0, 31.0]","[{'type': 'salary', 'value': 2100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
3,3,Pedro Severino\severpe01,27,7,Waivers,3.099,Republik Sports,1 yr/$1.83M (21),$1.82M,Arb,Arb,"[0.1, 0.7, -0.3, -1.1, 1.1, 0.9, 0.0]",False,,"[2.0, 16.0, 17.0, 70.0, 96.0, 48.0, 40.0]","[{'type': 'salary', 'value': 1825000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
4,4,Freddy Galvis\galvifr01,31,10,Free Agency,8.021,The Legacy Agency,1 yr/$1.5M (21),$1.5M,FA,,"[0.7, -0.3, -0.6, 0.1, 1.1, 2.1, 1.9, 3.1, 0.2, 0.8]",False,,"[58.0, 70.0, 43.0, 151.0, 158.0, 162.0, 162.0, 147.0, 47.0, 53.0]","[{'type': 'salary', 'value': 5500000.0}, {'type': 'salary', 'value': 1500000.0}]"
5,5,Matt Harvey\harvema01,32,9,Free Agency,7.127000000000002,Scott Boras,1 yr/$1M (21),$1M,FA,,"[1.9000000000000001, 5.0, 4.7, -0.1, -1.3, 0.7, -0.5, -0.6, -1.0]",True,1.0,"[10.0, 26.0, 29.0, 17.0, 19.0, 32.0, 12.0, 7.0, 12.0]","[{'type': 'salary', 'value': 1000000.0}]"
6,6,Pat Valaika\valaipa01,28,6,Waivers,3.079,Beverly Hills Spo...,1 yr/$875k (21),$875k,Arb,Arb,"[0.0, 0.6, -1.5, -0.5, 0.4, -0.7]",False,,"[13.0, 110.0, 68.0, 40.0, 52.0, 31.0]","[{'type': 'salary', 'value': 875000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
7,7,Shawn Armstrong\armstsh01,30,7,Waivers,3.028,,1 yr/$825k (21),$825k,Arb,Arb,"[0.2, 0.3, 0.1, 0.7, 0.10000000000000003, 0.3, -0.7]",True,0.0,"[8.0, 10.0, 21.0, 14.0, 55.0, 14.0, 20.0]","[{'type': 'salary', 'value': 825000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
8,8,Maikel Franco\francma02,28,8,Free Agency,5.157,Octagon,1 yr/$800k (21),$800k,FA,,"[-0.4, 1.8, 0.6, 0.0, 0.4, -0.2, 1.1, -0.9]",False,,"[16.0, 80.0, 152.0, 154.0, 131.0, 123.0, 60.0, 55.0]","[{'type': 'salary', 'value': 2950000.0}, {'type': 'salary', 'value': 800000.0}]"
9,9,Fernando Abad\abadfe01,35,9,,6.119,Magnus Sports,,FA,,,"[0.5, -1.0, -0.2, 0.4, 1.8, 0.2, 0.8, 0.5, 0.1]",True,0.015625,"[22.0, 29.0, 37.0, 39.0, 69.0, 62.0, 57.0, 48.0, 21.0]","[{'type': 'salary', 'value': 100000.0}]"
10,10,Chance Sisco\siscoch01,26,5,Amateur Draft,2.103,VC Sports Group,,,,Arb,"[0.4, -0.3, 0.0, 0.2, -0.2]",False,,"[10.0, 63.0, 59.0, 36.0, 23.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
11,11,Jorge Lopez\lopezjo02,28,6,Waivers,2.102,,,,,Arb,"[0.0, 0.0, 0.1, -1.3, -0.4, 0.1]",True,1.0,"[2.0, 1.0, 17.0, 39.0, 10.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
12,12,Paul Fry\frypa01,28,4,Traded,2.096,Wasserman,,,,Arb,"[0.4, -0.1, 0.8, 1.1]",True,0.0,"[35.0, 66.0, 22.0, 23.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
13,13,Ty Blach\blachty01,30,4,Waivers,2.065,Sports Pro Servic...,,,,Arb,"[0.8999999999999999, 1.9, -0.2, -1.1]",True,0.4782608695652174,"[4.0, 34.0, 47.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
14,14,Adam Plutko\plutkad01,29,5,Purchased,2.063,,,,,Arb,"[0.0, 0.1, 0.3, 0.0, -0.5]",True,0.045454545454545456,"[2.0, 17.0, 21.0, 10.0, 22.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
15,15,Tanner Scott\scottta01,26,5,Amateur Draft,2.059,MVP Sports Group,,,,Arb,"[-0.1, 0.0, 0.0, 1.2, 0.5]",True,0.0,"[2.0, 53.0, 28.0, 25.0, 28.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
16,16,John Means\meansjo01,28,4,Amateur Draft,2.007,Wasserman,,,,Arb,"[-0.2, 4.8999999999999995, 0.9, 3.0]",True,1.0,"[1.0, 31.0, 10.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
17,17,Richie Martin\martiri01,26,1st,Rule 5 Draft,2.0,,,,,Arb,[-1.0],False,,[120.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
18,18,Stevie Wilkerson\wilkest01,29,3,Free Agency,1.093,,,,,Arb,"[-0.2, -0.6, 0.1]",False,,"[16.0, 117.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
19,19,Evan Phillips\phillev01,26,3,Traded,1.083,,,,,Arb,"[-0.7, -0.1, 0.2]",True,0.02083333333333333,"[9.0, 25.0, 14.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
20,20,Cedric Mullins\mullice01,26,4,Amateur Draft,1.075,,,,,Arb,"[-0.2, -0.5, 0.5, 2.4]",False,,"[45.0, 22.0, 48.0, 58.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
21,21,DJ Stewart\stewadj01,27,4,Amateur Draft,1.065,,,,,Arb,"[0.6, -0.4, 0.7, 0.4]",False,,"[17.0, 44.0, 31.0, 45.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
22,22,Cesar Valdez\valdece01,36,4,Free Agency,1.06,,,,,Arb,"[-0.7999999999999999, -0.7, 1.0, -0.2]",True,0.0,"[9.0, 11.0, 9.0, 22.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
23,23,Austin Hays\haysau01,25,4,Amateur Draft,1.057,,,,,Arb,"[-0.5, 0.8, 0.8, 1.5]",False,,"[20.0, 21.0, 33.0, 32.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
24,24,Travis Lakins\lakintr01,27,3,Waivers,1.054,,,,,Arb,"[0.4, 0.8, -0.4]",True,0.0,"[16.0, 22.0, 18.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
25,25,Dillon Tate\tatedi01,27,3,Traded,1.048,,,,,Arb,"[-0.2, 0.4, -0.1]",True,0.0,"[16.0, 12.0, 15.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
26,26,Hunter Harvey\harvehu01,26,3,Amateur Draft,1.047,Beverly Hills Spo...,,,,Arb,"[0.3, 0.0, -0.1]",True,0.0,"[7.0, 10.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
27,27,Thomas Eshelman\eshelto01,27,2,Traded,1.028,,,,,Arb,"[-0.4, 0.6]",True,0.3636363636363637,"[10.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
