,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
0,Salvador Perez\perezsa02,31,10,Amateur Free Agent,9.05,Beverly Hills Spo...,5 yrs/$52.5M (17-21)4 yrs/$82M (22-25) & 26 team option,$14.2M,$18M,$20M,$20M,$22M,$2M [FA-*],"[1.5, 3.0, 4.2, 3.6, 2.4, 2.9, 2.5, 2.3, 5.67]","[39.0, 76.0, 138.0, 150.0, 142.0, 139.0, 129.0, 129.0, 37.0, 63.0]","[{'type': 'salary', 'value': 14200000.0}, {'type': 'salary', 'value': 18000000.0}, {'type': 'salary', 'value': 20000000.0}, {'type': 'salary', 'value': 20000000.0}, {'type': 'salary', 'value': 22000000.0}, {'type': 'team option', 'value': 13500000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2020, 2021]",False,
1,Danny Duffy\duffyda01,32,11,Amateur Draft,9.085,ACES (Sam & Seth ...,5 yrs/$65M (17-21),$15.5M,FA,,,,,"[-0.1, 0.4, 1.0, 3.8, 1.6, 4.0, 3.7, 1.1, 2.0, 0.81]","[20.0, 6.0, 5.0, 31.0, 30.0, 42.0, 24.0, 28.0, 23.0, 12.0, 7.0]","[{'type': 'salary', 'value': 15500000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
2,Hunter Dozier\doziehu01,29,5,Amateur Draft,3.06,L. Warner Compani...,4 yrs/$25M (21-24) & 25 team option,$2.5M,$4.75M,$7.5M,$9.25M,$1M [FA-*],FA,"[0.0, -2.0, 2.8, 1.0799999999999998]","[8.0, 102.0, 139.0, 44.0, 47.0]","[{'type': 'salary', 'value': 2500000.0}, {'type': 'salary', 'value': 4750000.0}, {'type': 'salary', 'value': 7500000.0}, {'type': 'salary', 'value': 9250000.0}, {'type': 'team option', 'value': 10000000.0}]","[2016, 2018, 2019, 2020, 2021]",False,
3,Mike Minor\minormi01,33,10,Free Agency,9.138,Jet Sports Manage...,2 yrs/$18M (21-22) & 23 team option,$7M,$10M,$1M [FA-*],FA,,,"[-0.6, 0.6, 0.3, 3.1, 0.4, 3.0, 3.4, 7.6, 0.5399999999999999]","[9.0, 15.0, 30.0, 32.0, 25.0, 65.0, 28.0, 32.0, 12.0, 13.0]","[{'type': 'salary', 'value': 7000000.0}, {'type': 'salary', 'value': 10000000.0}, {'type': 'team option', 'value': 13000000.0}]","[2010, 2011, 2012, 2013, 2014, 2017, 2018, 2019, 2020, 2021]",True,1.0
4,Carlos Santana\santaca01,35,12,Free Agency,10.115,Octagon,2 yrs/$17.5M (21-22),$7M,$10.5M,FA,,,,"[2.0, 4.1, 3.7, 4.4, 2.8, 0.4, 3.5, 3.3, 2.0, 4.5, 2.7]","[46.0, 155.0, 143.0, 154.0, 152.0, 154.0, 158.0, 154.0, 161.0, 158.0, 60.0, 63.0]","[{'type': 'salary', 'value': 7000000.0}, {'type': 'salary', 'value': 10500000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
5,Whit Merrifield\merriwh01,32,6,Amateur Draft,4.101,The L. Warner Com...,4 yrs/$16.25M (19-22) & 23 team option,$6.75M,$2.75M,$750k [FA-*],FA,,,"[1.5, 3.2, 4.5, 3.6, 2.1599999999999997]","[81.0, 145.0, 158.0, 162.0, 60.0, 63.0]","[{'type': 'salary', 'value': 6750000.0}, {'type': 'salary', 'value': 2750000.0}, {'type': 'team option', 'value': 10500000.0}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
6,Andrew Benintendi\beninan01,26,6,Traded,4.062,Excel Sports Mana...,2 yrs/$10M (20-21),$6.6M,Arb,FA,,,,"[0.8, 2.8, 4.8, 1.8, -0.26999999999999996]","[34.0, 151.0, 148.0, 138.0, 14.0, 59.0]","[{'type': 'salary', 'value': 6600000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
7,Jorge Soler\solerjo01,29,8,Traded,5.143,ACES,1 yr/$8.05M (21),$8.05M,FA,,,,,"[0.9, 0.0, 0.2, -1.2, 0.2, 3.5, 0.81]","[24.0, 101.0, 86.0, 35.0, 61.0, 162.0, 43.0, 58.0]","[{'type': 'salary', 'value': 8050000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
8,Brad Keller\kellebr01,25,4,Traded,3.0,Sosnick Cobbe & K...,1 yr/$3.35M (21),$3.35M,Arb,Arb,FA,,,"[3.8, 2.8, 4.59]","[41.0, 28.0, 9.0, 13.0]","[{'type': 'salary', 'value': 3350000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,1.0
9,Greg Holland\hollagr01,35,11,Free Agency,8.163,Boras Corporation,1 yr/$2.75M (21),$2.75M,FA,,,,,"[-0.2, 2.6, 1.9, 3.2, 2.6, 0.3, 1.5, -0.09999999999999987, 0.0, 2.43]","[15.0, 46.0, 67.0, 68.0, 65.0, 48.0, 61.0, 56.0, 40.0, 28.0, 24.0]","[{'type': 'salary', 'value': 2750000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021]",True,0.0
